op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name
ADD,102,3264.0,0.020297317,-0.0006653599,0.03809033,0.000412602,0.06884794,-1,model/quant_positional_embedding/add
RESHAPE,106,3264.0,0.0,0.0,0.0,0.0,0.06884794,-1,model/quant_transformer_layer/layer_normalization_8/Reshape
TRANSPOSE,110,3264.0,0.0,0.0,0.0,0.0,0.06884794,-1,model/quant_transformer_layer/layer_normalization_8/FusedBatchNormV3
MEAN,114,17.0,0.0007382914,-2.0066587e-05,0.0012707781,5.862481e-07,0.00269322,-128,model/quant_transformer_layer/layer_normalization_8/FusedBatchNormV31
SQUARED_DIFFERENCE,118,3264.0,0.0935204,-0.0048089963,0.168756,0.0087750545,0.33234653,-128,model/quant_transformer_layer/layer_normalization_8/FusedBatchNormV32
MEAN,122,17.0,0.009083829,-0.00087336934,0.015208184,8.931109e-05,0.032677077,-128,model/quant_transformer_layer/layer_normalization_8/FusedBatchNormV33
ADD,126,17.0,0.00018844097,-0.0002223789,0.0009646714,9.5784664e-08,0.032681003,-128,model/quant_transformer_layer/layer_normalization_8/FusedBatchNormV34
RSQRT,130,17.0,0.031173883,-0.007863176,0.13235402,0.001033895,0.0067118397,-128,model/quant_transformer_layer/layer_normalization_8/FusedBatchNormV35
MUL,134,3264.0,0.008271594,-9.4373914e-05,0.014761608,6.852193e-05,0.028746122,-5,model/quant_transformer_layer/layer_normalization_8/FusedBatchNormV36
MUL,138,17.0,0.0007537387,1.6781739e-06,0.0012591667,6.113086e-07,0.0026815562,-128,model/quant_transformer_layer/layer_normalization_8/FusedBatchNormV37
SUB,142,17.0,0.0,0.0,0.0,0.0,0.0026815562,127,model/quant_transformer_layer/layer_normalization_8/FusedBatchNormV38
ADD,146,3264.0,0.008185259,0.0005154746,0.014339505,6.935542e-05,0.028699216,2,model/quant_transformer_layer/layer_normalization_8/FusedBatchNormV39
TRANSPOSE,150,3264.0,0.0,0.0,0.0,0.0,0.028699216,2,model/quant_transformer_layer/layer_normalization_8/FusedBatchNormV310
RESHAPE,154,3264.0,0.0,0.0,0.0,0.0,0.028699216,2,model/quant_transformer_layer/layer_normalization_8/Reshape_1
MUL,158,3264.0,0.0014377481,-8.1911385e-06,0.009101857,2.0805408e-06,0.028670833,2,model/quant_transformer_layer/layer_normalization_8/mul_3
ADD,162,3264.0,0.0008887727,3.9785014e-06,0.0027937097,7.900733e-07,0.028665602,2,model/quant_transformer_layer/layer_normalization_8/add
FULLY_CONNECTED,166,52224.0,0.0011298503,-7.6658125e-07,0.0031524876,1.2766026e-06,0.0036766315,-5,model/quant_transformer_layer/layer_normalization_8/mul_3;model/quant_transformer_layer/layer_normalization_8/add;model/quant_transformer_layer/multi_head_attention_4/key/einsum/Einsum;model/quant_transformer_layer/multi_head_attention_4/key/add;model/quant_transformer_layer1/multi_head_attention_5/value/einsum/Einsum;model/quant_transformer_layer/multi_head_attention_4/key/add/ReadVariableOp1
RESHAPE,170,52224.0,0.0,0.0,0.0,0.0,0.0036766315,-5,model/quant_transformer_layer/multi_head_attention_4/key/add;model/quant_transformer_layer1/multi_head_attention_5/value/einsum/Einsum;model/quant_transformer_layer/multi_head_attention_4/key/einsum/Einsum;model/quant_transformer_layer/multi_head_attention_4/key/add/ReadVariableOp
FULLY_CONNECTED,174,52224.0,8.566941e-05,-2.51586e-07,0.0002378596,7.3396484e-09,0.00028056937,-3,model/quant_transformer_layer/layer_normalization_8/mul_3;model/quant_transformer_layer/layer_normalization_8/add;model/quant_transformer_layer/multi_head_attention_4/query/einsum/Einsum;model/quant_transformer_layer/multi_head_attention_4/query/add;model/quant_transformer_layer1/multi_head_attention_5/value/einsum/Einsum;model/quant_transformer_layer/multi_head_attention_4/query/add/ReadVariableOp;model/quant_transformer_layer/multi_head_attention_4/Mul;model/quant_transformer_layer/multi_head_attention_4/Mul/y1
RESHAPE,178,52224.0,0.0,0.0,0.0,0.0,0.00028056937,-3,model/quant_transformer_layer/multi_head_attention_4/Mul;model/quant_transformer_layer1/multi_head_attention_5/value/einsum/Einsum;model/quant_transformer_layer/multi_head_attention_4/query/add;model/quant_transformer_layer/multi_head_attention_4/query/einsum/Einsum;model/quant_transformer_layer/multi_head_attention_4/query/add/ReadVariableOp;model/quant_transformer_layer/multi_head_attention_4/Mul/y
TRANSPOSE,182,52224.0,0.0,0.0,0.0,0.0,0.0036766315,-5,model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum
TRANSPOSE,186,52224.0,0.0,0.0,0.0,0.0,0.00028056937,-3,model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum1
RESHAPE,190,52224.0,0.0,0.0,0.0,0.0,0.0036766315,-5,model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum2
